,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.375,0.493,0.605,0.774,0.904
ICE-NODE_UNIFORM,0.376,0.486,0.598,0.773,0.904
GRU,0.355,0.491,0.633,0.808,0.917
RETAIN,0.362,0.483,0.621,0.806,0.928
