,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.327,0.421,0.478,0.615,0.832
ICE-NODE_UNIFORM,0.328,0.417,0.471,0.612,0.828
GRU,0.3,0.411,0.5,0.652,0.849
RETAIN,0.312,0.409,0.491,0.64,0.856
ICE-NODE/G,0.326,0.421,0.474,0.614,0.835
ICE-NODE_UNIFORM/G,0.321,0.416,0.467,0.616,0.828
GRU/G,0.303,0.41,0.497,0.651,0.857
