,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.311,0.316,0.459,0.627,0.811
ICE-NODE_UNIFORM,0.316,0.32,0.453,0.626,0.807
GRU,0.282,0.31,0.475,0.672,0.818
RETAIN,0.301,0.314,0.474,0.647,0.82
ICE-NODE/G,0.311,0.317,0.455,0.625,0.817
ICE-NODE_UNIFORM/G,0.306,0.316,0.451,0.632,0.811
GRU/G,0.286,0.309,0.47,0.664,0.825
