,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.216,0.203,0.275,0.391,0.596
ICE-NODE_UNIFORM,0.221,0.204,0.273,0.393,0.593
GRU,0.2,0.199,0.296,0.405,0.609
RETAIN,0.214,0.21,0.291,0.395,0.593
