,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
GRU/G,0.2359366466411797,0.465366854797332,0.663470757430489,0.8639769452449567,0.9529795158286778
ICENODE/G,0.2435827416712179,0.5012827090815803,0.673058485139022,0.8582132564841498,0.9441340782122905
ICENODE_UNIFORM/G,0.2173675587110868,0.4925602873268342,0.6740172579098753,0.8674351585014409,0.9553072625698324
GRU,0.2124522119060622,0.4807593637762955,0.6725790987535955,0.8703170028818443,0.9641527001862198
ICENODE,0.2648825778263244,0.504361210877373,0.6754554170661553,0.854178674351585,0.9427374301675978
ICENODE_UNIFORM,0.2299290005461496,0.4961518727552591,0.6907957813998082,0.8587896253602305,0.957635009310987
RETAIN,0.2381212452211906,0.4992303745510518,0.6903163950143816,0.8766570605187319,0.9725325884543762
