,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
0,0,17.0,0.7235722687772986,0.725158890094559,0.7441892273883667,0.7200342856100742,0.007413721843861419,0.008454787287537506,0.007728412567631165,0.006752086586407589,0.9624614694612641,0.5613168587423587,0.9263886340273888,0.056900805597171304,0.9110972779741858,0.5903218343589594
1,1,84.0,0.6132220432032461,0.6123400017901898,0.589860066833751,0.604110723236663,0.0010006548537765912,0.000989308746338086,0.0010375446072911567,0.0009230672892036998,0.9784092414282693,0.4427712243378592,0.69955766883333,0.11858335994299657,0.7663111748861611,0.6045156430780512
2,2,496.0,0.7908443367435128,0.7898712135125209,0.7875804493550548,0.7827355954130026,0.00010917510539723877,0.00010486701942909379,0.00010914942746143647,0.00011382037722790191,0.8403937976278584,0.49547465050712836,0.07122209290114043,0.35645324181409,0.1847694018718804,0.3588270384408919
3,3,2337.0,0.9215093783013661,0.9193313505584697,0.9155137683318888,0.9186199464333824,1.2851849879392376e-05,1.301038032786066e-05,1.4027930234877517e-05,1.3368663779678505e-05,0.20944791101925775,0.0008321322841819521,0.03382798509442744,4.352108633140538e-05,0.6974450579754603,0.08990510998346803
4,4,77.0,0.6792841800665304,0.5989103995675737,0.631782315634608,0.6214898385920135,0.0010377434411184773,0.0009538051659863635,0.001016745642276772,0.0010906769798944525,0.0013001183419893334,0.0517371839688497,8.681424710743266e-05,0.0031669344408376235,0.3031140416983985,0.6346416107959616
5,5,597.0,0.7666830148014814,0.7648336498822963,0.7537953778430562,0.7668472094190364,0.00012069795897415356,0.0001146673610356371,0.00012659632141636765,0.00012253469964630193,0.8023007094327008,0.07617194158065942,0.9739079962239765,7.853005040253733e-06,0.7643950191270924,0.04236216368054312
6,6,58.0,0.6854577976222497,0.6686508149981172,0.682626822314272,0.6761808058529237,0.0011089261157912285,0.0011705893220253245,0.0012307614252080146,0.0010752844828602185,0.5058100296513013,0.8484032232791838,0.33171646306683367,0.5157372745941087,0.7622312266024769,0.6493071490267177
7,7,630.0,0.9060174989260292,0.9046871346460247,0.8962613582603306,0.9036126201079954,4.0721034050755405e-05,4.3192151206690075e-05,4.8426145158483046e-05,4.3042839620900365e-05,0.722827198119784,0.005437903125028846,0.3320956070379114,0.0025249101966223152,0.7858068395391775,0.047788580560732825
8,8,2166.0,0.8358687127419957,0.8391424912203431,0.8348519853550045,0.8367149660468427,3.10606846616607e-05,2.9951452549854394e-05,3.077681134474503e-05,3.142843606277164e-05,0.24270983090936493,0.7023233164775895,0.6892101384492599,0.0009193840944434425,0.37984221644885385,0.48462003098398954
9,9,169.0,0.6437257346192831,0.6368222249986144,0.62530917371124,0.6362003548980725,0.0004560022777720407,0.00043168842803216137,0.0004402730175948512,0.00047540392560834377,0.6089249006427246,0.18116733935589935,0.5299199447535121,0.004462024258405527,0.9631581576064515,0.4415194153989902
10,10,2307.0,0.8744097434148935,0.8738433033555023,0.87159035638273,0.872633804080181,2.014411710920399e-05,1.9916293473343978e-05,2.041582836059875e-05,2.0597340410930858e-05,0.7456916593398062,0.0981974627132884,0.18123848091531003,0.012924980083381717,0.5085733762729162,0.5652259572673478
11,11,276.0,0.7564675551436167,0.7753342321087517,0.7706911442534546,0.7593288909485825,0.0002507195851295731,0.00022401285960718334,0.00022631706155432205,0.00026375148666884975,0.05443678121166018,0.10593732562233149,0.68752889200115,0.34209813474236483,0.09356480441608032,0.16313889059557052
12,12,51.0,0.8902791909969535,0.8863985675304873,0.8786281537704687,0.8836882423220184,0.0010484904792486323,0.0010599852451475436,0.0011839770465168528,0.0011300625205120313,0.7960587997307315,0.44845669156728196,0.5723215241832341,0.3763132325702889,0.8910113555801584,0.7684568510380811
13,13,141.0,0.8597500075663569,0.8658042140684918,0.8693912277338929,0.8627597362199826,0.00027586378744327226,0.0002626454609405909,0.0002596605908263162,0.00026632759687058796,0.44090475591100353,0.20302550546147524,0.6383014673413117,0.42654269746609175,0.6486794855273577,0.26270221115060355
14,14,145.0,0.9107920181930228,0.9209476078029307,0.9173084579013673,0.9140488746611987,0.0002200291420756885,0.00018073741189648276,0.00017979505048095162,0.00019556301759417595,0.36175600584886225,0.5101667161950725,0.6593070289015149,0.31282308958381777,0.46509974250457464,0.6984918597289178
15,15,21.0,0.6463692969044295,0.6900145508800697,0.6978661171308914,0.7111022476308657,0.004480170687461871,0.003257054495652406,0.0037171533784450417,0.003476233313493152,0.3088031917878905,0.2781114612429747,0.10118361343719846,0.7727602879250581,0.5094269714900015,0.6035153629359098
16,16,228.0,0.8553499634502923,0.8560384334233019,0.8481616199955015,0.851124254948268,0.00025463150677782143,0.0002172893909381763,0.0002366568530921695,0.00024456082808602884,0.9421735816984826,0.5041755003831141,0.4853402002306496,0.05242513015387999,0.5186379773086366,0.7367025469830069
17,17,562.0,0.8400659863363513,0.8413809227120499,0.835057056398403,0.8440347472200898,8.310069433269265e-05,8.182948308215612e-05,8.7260488633794e-05,8.076795503088044e-05,0.7995842441745067,0.35076183827907925,0.2474857618091697,0.0020833620005543904,0.5790473803785029,0.07185872330615953
18,18,234.0,0.8707285522733068,0.8674589856014302,0.8598720416574122,0.8578723926414014,0.00017194110868416936,0.0001861197705771748,0.00018991677958738056,0.00021190962190357858,0.6880517738514831,0.16724225455859643,0.060946127320852764,0.1557990487450499,0.29745998352662084,0.8200943954445999
19,19,58.0,0.757286567324762,0.7858464683414923,0.7838345257948249,0.7533245467749745,0.0010248991852219208,0.0007779083787130475,0.000833503666331803,0.0011219537909968739,0.18472905485466906,0.2329062729851067,0.7911483417925753,0.7154014369427972,0.0953715984366803,0.13877826125376225
20,20,788.0,0.6413489981768785,0.6706006023450346,0.6531409746550368,0.6471490267748624,0.00012179242634922294,0.00011188897893665404,0.00012051271409960318,0.0001254513178503043,0.0002095019548529911,0.11362936850618312,0.2958285268988915,4.6837474134910335e-05,0.0016312380051788284,0.3950974819510352
21,21,576.0,0.7373084443595836,0.7353818383684092,0.7373130115222146,0.7441120434015992,0.0001547475882015371,0.0001577184037960826,0.00015608302768335672,0.00015292545314764917,0.8277659043079757,0.999581481681676,0.2775241601691162,0.4518166910819664,0.30428716551528756,0.4055413843414376
22,22,5.0,0.8214760946928671,0.8576203001701996,0.8368868946309763,0.7765124555160143,0.0116876098459903,0.002736244756660215,0.006834810347719611,0.02148624743699945,0.5894895136194256,0.7591067886016317,0.2678908594847471,0.5377386183765185,0.4231546787127799,0.4231266101025287
23,23,43.0,0.9264211383585196,0.9408125961451452,0.9283322776219346,0.8983585195909871,0.0006694047602669582,0.0006695564092227675,0.0008933019122216764,0.0012653756254647687,0.18992673318193998,0.8505859151852325,0.15865636193450616,0.052726783577875615,0.053808752612248954,0.1622296251269787
24,24,76.0,0.7201353665766419,0.7315476582570318,0.7384415552335156,0.7093859100191028,0.0011060095589307429,0.001111248402827214,0.001051607929278549,0.0010775064816988674,0.6535166203611104,0.46859251561785775,0.5571000774049386,0.4271056296969845,0.458541743279716,0.32829738192384716
25,25,153.0,0.7975615688344485,0.7801685995063109,0.7816879615398549,0.7932932793069722,0.000405703425519291,0.00046195781071002123,0.0004460042278311217,0.0004031468918948483,0.2251816094825324,0.24761799250710304,0.6570899506511855,0.7489574725406307,0.34460618446139113,0.3697525149294407
26,26,896.0,0.6914404011447544,0.6924608293380166,0.6816095785047687,0.6935127046264487,9.250752519279583e-05,9.123480799358698e-05,9.653947883064506e-05,9.340695008110693e-05,0.8559671671756531,0.07023574016072634,0.6364197454220328,3.956797184578083e-06,0.8550517495175533,0.03061693177433201
27,27,14.0,0.7527668334144938,0.6624463234317588,0.6679799902607463,0.6642835008189827,0.002972837586856377,0.005499056138673107,0.006086491998490972,0.007418311903201931,0.09913652030125245,0.1324190362065358,0.09733283055983998,0.7285498059250087,0.9798421543394209,0.9587428500702584
28,28,3.0,0.6447022428460943,0.6575921629285898,0.6970353183810261,0.6695024490848157,0.04773765383372386,0.07876609934827723,0.07035104151770946,0.06435489726774919,0.9229457327722983,0.6411696167526373,0.7409505407479791,0.06347222054480518,0.8410165252871016,0.4846171032118013
29,29,13.0,0.8055174879342192,0.6502413156169934,0.6530179348149914,0.7568968599177739,0.0035486271523781994,0.006404053497331288,0.00569111760802482,0.006801728269959574,0.004860898672677804,0.004349516976940497,0.13838099022601816,0.8850776637099288,0.13777746027160956,0.1454266456866272
30,30,48.0,0.6980740524402909,0.7365784008307373,0.7195466640706126,0.7128520898234684,0.001794297036481218,0.0013234373622760841,0.0015323202622974028,0.001719861656109027,0.10380772632452907,0.333871618353356,0.5580603547153291,0.09537822426453195,0.26999839220903454,0.7463624610923054
31,31,1080.0,0.8878507451400919,0.885570987654321,0.8804027812147709,0.8800199001897221,3.770027503030693e-05,3.732391014910663e-05,4.1133165535361596e-05,4.225630261183926e-05,0.5398326982942988,0.030833235741286304,0.009210558402826025,0.005869223325341265,0.15333059035041283,0.9167839583881695
32,32,523.0,0.877823644722898,0.8771543482560822,0.8690203538812602,0.854974937565028,9.641584794760892e-05,8.751898531939358e-05,9.491500045419898e-05,0.00012077019786788601,0.9252209064581476,0.12924093822398466,8.610757186087348e-07,0.02799303392728965,0.0038174865485111637,0.024602398002797274
33,33,371.0,0.7255324632723353,0.7354936168952341,0.7310382420411788,0.7321359494992677,0.00020659744996493796,0.0001909260021752246,0.0001974418042668672,0.00019317515509979305,0.21115850417699789,0.4815182033838077,0.2496412160469642,0.11871384036853039,0.6729309896177299,0.8874266775086501
34,34,20.0,0.9138957816377171,0.875224875930521,0.8877326302729529,0.8992090570719603,0.0023482400813724697,0.003920310468501403,0.003084831501878042,0.0020782950094822,0.2792023147985192,0.2553981427431108,0.4423453742071548,0.3617124762121917,0.5620631011088231,0.7099110455664972
35,35,465.0,0.641634021698828,0.6573756132686345,0.657009308965589,0.6460371964555357,0.00017906887125522972,0.0001699031363499448,0.00016601379608313999,0.00018088756075020516,0.09500620101621077,0.09429488530188436,0.5331320729976474,0.9182587592095074,0.18210872374096765,0.1848170416133177
36,36,1318.0,0.7425804027873948,0.7454047762865181,0.7362062996302134,0.7389016898212944,6.382119088617686e-05,5.954937149675597e-05,6.39100871238721e-05,6.247975782826007e-05,0.5463554157877286,0.11944543490297047,0.24133843141794398,0.0015557977071048157,0.1550545244293969,0.4963072111085838
37,37,29.0,0.7255999271679582,0.7615982348940455,0.7585242943057124,0.7255892165735737,0.0026499305687200107,0.003172399972078877,0.0028617286434677986,0.002503579063067562,0.3991436309969473,0.3884455228617506,0.9996249048838971,0.7904166230919791,0.34370571425821095,0.32146401018208937
38,38,426.0,0.7185313136681726,0.716397580007242,0.7203577306273923,0.7070896914089636,0.00019603270000258022,0.00021715646539223005,0.00021259083982803396,0.0002273922993304615,0.8319519236290814,0.851829428292075,0.13205954522327967,0.09743996186875119,0.32497858819670755,0.15244584717727083
