,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.193,0.351,0.434,0.616,0.799
ICE-NODE_UNIFORM,0.19,0.352,0.437,0.609,0.801
GRU,0.175,0.326,0.431,0.571,0.784
RETAIN,0.2,0.33,0.428,0.574,0.806
ICE-NODE/G,0.177,0.344,0.432,0.604,0.802
ICE-NODE_UNIFORM/G,0.176,0.344,0.43,0.603,0.802
GRU/G,0.168,0.328,0.422,0.559,0.803
