,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.279,0.506,0.665,0.854,0.931
ICE-NODE_UNIFORM,0.278,0.501,0.665,0.852,0.932
GRU,0.255,0.48,0.654,0.83,0.947
RETAIN,0.262,0.483,0.663,0.855,0.957
ICE-NODE/G,0.257,0.503,0.668,0.859,0.938
ICE-NODE_UNIFORM/G,0.261,0.507,0.665,0.859,0.936
GRU/G,0.255,0.474,0.655,0.829,0.941
