,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.227,0.289,0.282,0.367,0.627
ICE-NODE_UNIFORM,0.231,0.286,0.277,0.369,0.621
GRU,0.208,0.283,0.302,0.387,0.642
RETAIN,0.217,0.288,0.292,0.378,0.643
