,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICENODE,0.406,0.549,0.697,0.873,0.943
ICENODE_UNIFORM,0.401,0.54,0.691,0.87,0.946
GRU,0.396,0.558,0.733,0.896,0.95
RETAIN,0.393,0.541,0.725,0.903,0.962
