,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICE-NODE,0.121,0.232,0.262,0.338,0.588
ICE-NODE_UNIFORM,0.121,0.234,0.261,0.335,0.588
GRU,0.121,0.22,0.262,0.315,0.537
RETAIN,0.135,0.227,0.261,0.317,0.559
ICE-NODE/G,0.11,0.228,0.262,0.332,0.597
ICE-NODE_UNIFORM/G,0.111,0.229,0.26,0.335,0.595
GRU/G,0.118,0.224,0.252,0.315,0.561
