,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
ICENODE,0.21406241852542504,0.5516472471552996,0.670938002812124,0.7770369820760417,0.9459268415577071
ICENODE_UNIFORM,0.18139561446417354,0.5360417477893041,0.6903619522518736,0.7968229404054001,0.9558265396006046
GRU,0.16991902823955327,0.5396327765408309,0.6576202762839376,0.8143229139063488,0.9607165771911828
RETAIN,0.2001027976351578,0.5618112896086478,0.6994941075854871,0.814163919598345,0.9702719063896733
