,ACC-P0,ACC-P1,ACC-P2,ACC-P3,ACC-P4
GRU,0.3964563328760859,0.557624636635849,0.7334568439407149,0.8964634172151792,0.9499732534503048
ICENODE,0.4063557384545039,0.547526938124276,0.7041412380122057,0.8693305678427057,0.9423344388573874
ICENODE_UNIFORM,0.4011888431641518,0.5395711756606124,0.6914995640802093,0.8701348176680987,0.9456082165400664
RETAIN,0.3932098765432099,0.5408169956068455,0.7253923278116826,0.903172553916485,0.9623408580293142
